Value,Frame,Seconds
225.0,1,0
225.0,2,0
225.0,3,0
225.0,4,0
225.0,5,0
225.0,6,0
225.0,7,0
225.0,8,0
225.0,9,0
225.0,10,0
225.0,11,0
225.0,12,0
225.0,13,0
225.0,14,0
225.0,15,0
225.0,16,0
225.0,17,0
225.0,18,0
225.0,19,0
225.0,20,0
225.0,21,0
225.0,22,0
225.0,23,0
225.0,24,0
225.0,25,0
225.0,26,0
225.0,27,0
225.0,28,0
225.0,29,0
225.0,30,0
225.0,31,0
225.0,32,0
225.0,33,0
225.0,34,0
225.0,35,0
225.0,36,0
225.0,37,0
225.0,38,0
225.0,39,0
225.0,40,0
225.0,41,0
225.0,42,0
225.0,43,0
225.0,44,0
225.0,45,0
225.0,46,0
225.0,47,0
225.0,48,0
225.0,49,0
225.0,50,0
225.0,51,0
224.3,52,0
223.6,53,0
222.90001,54,0
222.20001,55,0
221.50002,56,0
220.80002,57,0
220.10002,58,0
219.40002,59,0
218.70003,60,1
218.00003,61,1
217.30003,62,1
216.60004,63,1
215.90004,64,1
215.20004,65,1
214.50005,66,1
213.80005,67,1
213.10005,68,1
212.40005,69,1
211.70006,70,1
211.00006,71,1
210.30006,72,1
209.60007,73,1
208.90007,74,1
208.20007,75,1
207.50008,76,1
206.80008,77,1
206.10008,78,1
205.40009,79,1
204.70009,80,1
204.00009,81,1
203.3001,82,1
202.6001,83,1
201.9001,84,1
201.2001,85,1
200.5001,86,1
199.80011,87,1
199.10011,88,1
198.40012,89,1
197.70012,90,1
197.00012,91,1
196.30013,92,1
195.60013,93,1
194.90013,94,1
194.20013,95,1
193.50014,96,1
192.80014,97,1
192.10014,98,1
191.40015,99,1
190.70015,100,1
190.00015,101,1
189.30016,102,1
188.60016,103,1
187.90016,104,1
187.20016,105,1
186.50017,106,1
185.80017,107,1
185.10017,108,1
184.40018,109,1
183.70018,110,1
183.00018,111,1
182.30019,112,1
181.60019,113,1
180.90019,114,1
180.2002,115,1
179.5002,116,1
178.8002,117,1
178.1002,118,1
177.4002,119,1
176.70021,120,2
176.00021,121,2
175.30022,122,2
174.60022,123,2
173.90022,124,2
173.20023,125,2
172.50023,126,2
171.80023,127,2
171.10023,128,2
170.40024,129,2
169.70024,130,2
169.00024,131,2
168.30025,132,2
167.60025,133,2
166.90025,134,2
166.20026,135,2
165.50026,136,2
164.80026,137,2
164.10027,138,2
163.40027,139,2
162.70027,140,2
162.00027,141,2
161.30028,142,2
160.60028,143,2
159.90028,144,2
159.20029,145,2
158.50029,146,2
157.8003,147,2
157.1003,148,2
156.4003,149,2
155.7003,150,2
155.0003,151,2
154.30031,152,2
153.60031,153,2
152.90031,154,2
152.20032,155,2
151.50032,156,2
150.80032,157,2
150.10033,158,2
149.40033,159,2
148.70033,160,2
148.00034,161,2
147.30034,162,2
146.60034,163,2
145.90034,164,2
145.20035,165,2
144.50035,166,2
143.80035,167,2
143.10036,168,2
142.40036,169,2
141.70036,170,2
141.00037,171,2
140.30037,172,2
139.60037,173,2
138.90038,174,2
138.20038,175,2
137.50038,176,2
136.80038,177,2
136.10039,178,2
135.40039,179,2
134.7004,180,3
134.0004,181,3
133.3004,182,3
132.6004,183,3
131.9004,184,3
131.20041,185,3
130.50041,186,3
129.80042,187,3
129.10042,188,3
128.40042,189,3
127.700424,190,3
127.00043,191,3
126.30043,192,3
125.60043,193,3
124.90044,194,3
124.20044,195,3
123.50044,196,3
122.800446,197,3
122.10045,198,3
121.40045,199,3
120.700455,200,3
120.00046,201,3
