OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,AA407F3F-8B11-DC24-279A-BF95729FB9A1,1677173887370,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,AA407F3F-8B11-DC24-279A-BF95729FB9A1,1677173920103,32518,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174131545,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174162000,28263,2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174162087,28350,4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174162130,28393,6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174162656,28918,4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174162697,28959,2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174165222,31486,4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174165262,31526,6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174165735,31996,4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174165769,32030,2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174165817,32078,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,8FEA5D1B-867B-CE0D-5041-D2FD580009C9_1,7EE35022-8809-4E1B-FCA4-95F5BE494A8F,91EEFD8B-7BAD-8535-98DE-B16D49B7C98E,1677174165791,32052,0
