OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,2D1F22DB-AFA7-DF7A-A597-B1B55802A9D8,1677174930592,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,2D1F22DB-AFA7-DF7A-A597-B1B55802A9D8,1677174997117,60033,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,AFB96EEA-E399-622E-6864-9E2521D75776,1677175215101,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175293877,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175354154,57320,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175354185,57332,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175354483,57609,12
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175354520,57646,14
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175354220,57367,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175354980,58103,18
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175355012,58135,20
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175355378,58474,24
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175355410,58506,26
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175355444,58540,28
Green video (pNRpAtLg40s&amp;ab_channel) - 60,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,87B40E43-552C-0EAF-E926-C622E78C8B36,50FF5AEE-1892-97A9-C80B-F4E58654F035,1677175358844,59998,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175430578,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175433046,2418,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175434191,3564,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175435036,4410,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175436709,6082,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175436940,6313,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175437445,6818,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175437861,7233,-2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175438321,7694,-4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,54ACB525-415E-FB5C-29A1-3F30026D29A6_1,474837F6-C75E-FF25-50E4-397124DE8D78,6CF5902B-28E9-D417-65D1-1733864B78F2,1677175438352,7725,-6
