OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,5A062B2C-1293-61AF-8516-F44428B22366_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,C9C62BC0-1A2B-4D10-6C1C-E851AEFBE3D7,1677174870672,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,C9C62BC0-1A2B-4D10-6C1C-E851AEFBE3D7,1677174912919,32525,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,5A062B2C-1293-61AF-8516-F44428B22366_1,87B40E43-552C-0EAF-E926-C622E78C8B36,D51FED0D-643A-B17D-D00D-293DF5CDA810,1677175139419,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,5A062B2C-1293-61AF-8516-F44428B22366_1,87B40E43-552C-0EAF-E926-C622E78C8B36,D51FED0D-643A-B17D-D00D-293DF5CDA810,1677175175869,32528,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 32.521,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175280584,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175283140,2029,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175283201,2090,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285085,3974,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285133,4022,-4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285176,4065,-5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285316,4205,-6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285758,4647,-7
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285804,4693,-8
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285850,4739,-9
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,5A062B2C-1293-61AF-8516-F44428B22366_1,474837F6-C75E-FF25-50E4-397124DE8D78,F2BF196D-C860-FDFB-443A-3F2B939CE5E7,1677175285927,4816,-10
